YEAR,BOROUGH,ZIP.CODE,ON.STREET.NAME,CROSS.STREET.NAME,LONGITUDE,LATITUDE,ACCIDENTS
2018,QUEENS,11370,82 STREET,23 AVENUE,-73.88756,40.76635,32
2018,MANHATTAN,10018,WEST 40 STREET,11 AVENUE,-73.99926,40.759514,23
2018,MANHATTAN,10022,2 AVENUE,EAST 59 STREET,-73.96434,40.7606,23
2018,MANHATTAN,10036,WEST 41 STREET,10 AVENUE,-73.99595,40.75898,23
2018,BRONX,10453,WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,-73.91282,40.861862,21
2018,QUEENS,11417,NORTH CONDUIT AVENUE,COHANCY STREET,-73.834656,40.667114,21
2018,MANHATTAN,10012,DELANCEY STREET,BOWERY,-73.99404,40.72032,20
2018,MANHATTAN,10016,EAST 37 STREET,3 AVENUE,-73.976746,40.747627,20
2018,MANHATTAN,10018,11 AVENUE,WEST 40 STREET,-73.99926,40.759514,20
2018,QUEENS,11420,NORTH CONDUIT AVENUE,134 STREET,-73.80546,40.666893,20
